q,p,deg_p,deg_ell,prime_levels,complete,incomplete,incomplete_levels,result_directory
2,T^5 + T^2 + 1,5,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^2 + 1,5,5,5,0,5,T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^2 + 1,5,6,9,0,9,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^5 + T^2 + 1,5,7,18,10,8,T^7 + T + 1; T^7 + T^3 + 1; T^7 + T^4 + T^3 + T^2 + 1; T^7 + T^5 + T^2 + T + 1; T^7 + T^5 + T^4 + T^3 + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + 1; T^7 + T^6 + T^4 + T + 1,results/q2
2,T^5 + T^2 + 1,5,8,30,30,0,,results/q2
2,T^5 + T^2 + 1,5,9,56,55,1,T^9 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^2 + 1,5,10,99,99,0,,results/q2
2,T^5 + T^2 + 1,5,11,186,186,0,,results/q2
2,T^5 + T^3 + 1,5,1,2,0,2,T; T + 1,results/q2
2,T^5 + T^3 + 1,5,2,1,0,1,T^2 + T + 1,results/q2
2,T^5 + T^3 + 1,5,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^5 + T^3 + 1,5,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^3 + 1,5,5,5,0,5,T^5 + T^2 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^3 + 1,5,6,9,1,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1,results/q2
2,T^5 + T^3 + 1,5,7,18,9,9,T^7 + T + 1; T^7 + T^5 + T^2 + T + 1; T^7 + T^5 + T^3 + T + 1; T^7 + T^5 + T^4 + T^3 + 1; T^7 + T^6 + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^3 + T^2 + T + 1; T^7 + T^6 + T^5 + T^4 + 1; T^7 + T^6 + T^5 + T^4 + T^2 + T + 1,results/q2
2,T^5 + T^3 + 1,5,8,30,29,1,T^8 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^3 + 1,5,9,56,54,2,T^9 + T^4 + T^3 + T + 1; T^9 + T^8 + T^6 + T^5 + T^4 + T + 1,results/q2
2,T^5 + T^3 + 1,5,10,99,99,0,,results/q2
2,T^5 + T^3 + 1,5,11,186,186,0,,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,1,2,0,2,T; T + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,2,1,0,1,T^2 + T + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,5,5,0,5,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,6,9,2,7,T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,7,18,11,7,T^7 + T^4 + 1; T^7 + T^5 + T^3 + T + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^2 + 1; T^7 + T^6 + T^5 + T^4 + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,8,30,29,1,T^8 + T^5 + T^3 + T + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,9,56,54,2,T^9 + T^6 + T^5 + T^3 + T^2 + T + 1; T^9 + T^8 + T^6 + T^5 + T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,10,99,99,0,,results/q2
2,T^5 + T^3 + T^2 + T + 1,5,11,186,186,0,,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,1,2,0,2,T; T + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,2,1,0,1,T^2 + T + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,5,5,0,5,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,6,9,0,9,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,7,18,10,8,T^7 + T^5 + T^3 + T + 1; T^7 + T^5 + T^4 + T^3 + 1; T^7 + T^6 + T^3 + T + 1; T^7 + T^6 + T^4 + T + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^2 + 1; T^7 + T^6 + T^5 + T^4 + 1; T^7 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,8,30,30,0,,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,9,56,55,1,T^9 + T^8 + T^6 + T^5 + T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,10,99,99,0,,results/q2
2,T^5 + T^4 + T^2 + T + 1,5,11,186,186,0,,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,1,2,0,2,T; T + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,2,1,0,1,T^2 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,5,5,0,5,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,6,9,2,7,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,7,18,11,7,T^7 + T^3 + 1; T^7 + T^4 + T^3 + T^2 + 1; T^7 + T^5 + T^3 + T + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,8,30,29,1,T^8 + T^5 + T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,9,56,54,2,T^9 + T^6 + T^5 + T^4 + T^3 + T^2 + 1; T^9 + T^8 + T^6 + T^5 + T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,10,99,99,0,,results/q2
2,T^5 + T^4 + T^3 + T + 1,5,11,186,186,0,,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,1,2,0,2,T; T + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,2,1,0,1,T^2 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,5,5,0,5,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,6,9,1,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,7,18,9,9,T^7 + T^3 + 1; T^7 + T^3 + T^2 + T + 1; T^7 + T^4 + 1; T^7 + T^5 + T^3 + T + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + 1; T^7 + T^6 + T^3 + T + 1; T^7 + T^6 + T^4 + T + 1; T^7 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,8,30,29,1,T^8 + T^4 + T^3 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,9,56,54,2,T^9 + T^6 + T^5 + T^4 + T^2 + T + 1; T^9 + T^8 + T^4 + T^3 + T^2 + T + 1,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,10,99,99,0,,results/q2
2,T^5 + T^4 + T^3 + T^2 + 1,5,11,186,186,0,,results/q2
2,T^6 + T + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T + 1,6,6,8,0,8,T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T + 1,6,7,18,14,4,T^7 + T^4 + T^3 + T^2 + 1; T^7 + T^5 + T^4 + T^3 + 1; T^7 + T^6 + T^5 + T^4 + 1; T^7 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T + 1,6,8,30,30,0,,results/q2
2,T^6 + T + 1,6,9,56,56,0,,results/q2
2,T^6 + T + 1,6,10,99,99,0,,results/q2
2,T^6 + T^3 + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^3 + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^3 + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^3 + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^3 + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^3 + 1,6,6,8,0,8,T^6 + T + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T^3 + 1,6,7,18,12,6,T^7 + T + 1; T^7 + T^3 + 1; T^7 + T^4 + T^3 + T^2 + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^4 + 1,results/q2
2,T^6 + T^3 + 1,6,8,30,30,0,,results/q2
2,T^6 + T^3 + 1,6,9,56,56,0,,results/q2
2,T^6 + T^3 + 1,6,10,99,99,0,,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,6,8,0,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,7,18,14,4,T^7 + T + 1; T^7 + T^3 + 1; T^7 + T^6 + T^4 + T + 1; T^7 + T^6 + T^5 + T^2 + 1,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,8,30,30,0,,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,9,56,56,0,,results/q2
2,T^6 + T^4 + T^2 + T + 1,6,10,99,99,0,,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,6,8,0,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,7,18,12,6,T^7 + T^3 + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^2 + 1; T^7 + T^6 + T^5 + T^4 + 1; T^7 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,8,30,30,0,,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,9,56,56,0,,results/q2
2,T^6 + T^4 + T^3 + T + 1,6,10,99,99,0,,results/q2
2,T^6 + T^5 + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^5 + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^5 + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^5 + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + 1,6,6,8,0,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T^5 + 1,6,7,18,11,7,T^7 + T + 1; T^7 + T^3 + 1; T^7 + T^4 + 1; T^7 + T^4 + T^3 + T^2 + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + T^5 + T^2 + 1; T^7 + T^6 + T^5 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^5 + 1,6,8,30,29,1,T^8 + T^7 + T^6 + T^4 + T^2 + T + 1,results/q2
2,T^6 + T^5 + 1,6,9,56,56,0,,results/q2
2,T^6 + T^5 + 1,6,10,99,99,0,,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,6,8,0,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,7,18,11,7,T^7 + T^4 + 1; T^7 + T^4 + T^3 + T^2 + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^2 + 1; T^7 + T^6 + T^5 + T^3 + T^2 + T + 1; T^7 + T^6 + T^5 + T^4 + 1; T^7 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,8,30,29,1,T^8 + T^7 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,9,56,56,0,,results/q2
2,T^6 + T^5 + T^2 + T + 1,6,10,99,99,0,,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,6,8,0,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^4 + T + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,7,18,12,6,T^7 + T^5 + T^2 + T + 1; T^7 + T^5 + T^3 + T + 1; T^7 + T^5 + T^4 + T^3 + T^2 + T + 1; T^7 + T^6 + 1; T^7 + T^6 + T^3 + T + 1; T^7 + T^6 + T^4 + T^2 + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,8,30,28,2,T^8 + T^7 + T^5 + T^3 + 1; T^8 + T^7 + T^6 + T + 1,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,9,56,56,0,,results/q2
2,T^6 + T^5 + T^3 + T^2 + 1,6,10,99,99,0,,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,6,8,0,8,T^6 + T + 1; T^6 + T^3 + 1; T^6 + T^4 + T^2 + T + 1; T^6 + T^4 + T^3 + T + 1; T^6 + T^5 + 1; T^6 + T^5 + T^2 + T + 1; T^6 + T^5 + T^3 + T^2 + 1; T^6 + T^5 + T^4 + T^2 + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,7,18,8,10,T^7 + T + 1; T^7 + T^3 + 1; T^7 + T^5 + T^2 + T + 1; T^7 + T^5 + T^4 + T^3 + 1; T^7 + T^6 + T^3 + T + 1; T^7 + T^6 + T^4 + T + 1; T^7 + T^6 + T^4 + T^2 + 1; T^7 + T^6 + T^5 + T^3 + T^2 + T + 1; T^7 + T^6 + T^5 + T^4 + T^2 + T + 1; T^7 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,8,30,29,1,T^8 + T^7 + T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,9,56,56,0,,results/q2
2,T^6 + T^5 + T^4 + T + 1,6,10,99,99,0,,results/q2
2,T^6 + T^5 + T^4 + T^2 + 1,6,1,2,0,2,T; T + 1,results/q2
2,T^6 + T^5 + T^4 + T^2 + 1,6,2,1,0,1,T^2 + T + 1,results/q2
2,T^6 + T^5 + T^4 + T^2 + 1,6,3,2,0,2,T^3 + T + 1; T^3 + T^2 + 1,results/q2
2,T^6 + T^5 + T^4 + T^2 + 1,6,4,3,0,3,T^4 + T + 1; T^4 + T^3 + 1; T^4 + T^3 + T^2 + T + 1,results/q2
2,T^6 + T^5 + T^4 + T^2 + 1,6,5,6,0,6,T^5 + T^2 + 1; T^5 + T^3 + 1; T^5 + T^3 + T^2 + T + 1; T^5 + T^4 + T^2 + T + 1; T^5 + T^4 + T^3 + T + 1; T^5 + T^4 + T^3 + T^2 + 1,results/q2
